Company,Symbol,Scrip-code,Sector,Industry,Group,Face Value,ISIN No,Issuer Name
Rallis India Ltd,RALLIS,500355,Equity,Active,A ,1,INE613A01020,Rallis India Ltd
Shree Rama Newsprint Ltd,RAMANEWS,500356,Equity,Active,B ,10,INE278B01020,Shree Rama Newsprint Limited
Rama Paper Mills Ltd,RAMAPPR-B,500357,Equity,Active,Z ,10,INE425E01013,Rama Paper Mills Limited
Rama Petrochemicals Ltd,RAMAPETRO,500358,Equity,Active,XT,10,INE783A01013,Rama Petrochemicals Ltd
Rapicut Carbides Ltd,RAPICUT,500360,Equity,Active,X ,10,INE350D01015,Rapicut Carbides Ltd.
Welspun Specialty Solutions Ltd,WELSPLSOL,500365,Equity,Active,B ,6,INE731F01037,WELSPUN SPECIALTY SOLUTIONS LIMITED
Rubfila International Ltd,RUBFILA,500367,Equity,Active,B ,5,INE642C01025,Rubfila International Ltd.
Patanjali Foods Ltd,PATANJALI,500368,Equity,Active,A ,2,INE619A01035,Patanjali Foods Limited
Salora International Ltd,SALORAINTL,500370,Equity,Active,X ,10,INE924A01013,Salora International Limited
Samtel India Ltd,SAMTELIN,500371,Equity,Active,XT,10,INE538C01017,Samtel (India) Ltd.
Jindal Saw Ltd,JINDALSAW,500378,Equity,Active,A ,1,INE324A01032,Jindal Saw Ltd.
JK Lakshmi Cement Ltd,JKLAKSHMI,500380,Equity,Active,A ,5,INE786A01032,JK Lakshmi Cement Limited
Shree Cement Ltd,SHREECEM,500387,Equity,Active,A ,10,INE070A01015,Shree Cements Ltd.
Shree Krishna Paper Mills & Industries Ltd,SKPMIL,500388,Equity,Active,X ,10,INE970C01012,Shree Krishna Paper Mills & Industr
Silverline Technologies Ltd,SILVERLINE,500389,Equity,Active,XT,10,INE368A01021,Silverline Technologies Ltd.
Reliance Infrastructure Ltd,RELINFRA,500390,Equity,Active,T ,10,INE036A01016,Reliance Infrastructure Ltd
Steelco Gujarat Ltd,STEELCO,500399,Equity,Active,XT,10,INE629B01032,Steelco Gujarat Ltd
Tata Power Company Ltd,TATAPOWER,500400,Equity,Active,A ,1,INE245A01021,Tata Power Co. Ltd
SPML Infra Ltd,SPMLINFRA,500402,Equity,Active,B ,2,INE937A01023,SPML Infra Limited
Sundram Fasteners Ltd,SUNDRMFAST,500403,Equity,Active,A ,1,INE387A01021,Sundram Fasteners Ltd.
Sunflag Iron & Steel Company Ltd,SUNFLAG,500404,Equity,Active,B ,10,INE947A01014,Sunflag Iron & Steel Co. Ltd.
Supreme Petrochem Ltd,SPLPETRO,500405,Equity,Active,A ,2,INE663A01033,Supreme Petrochem Ltd.
Swaraj Engines Ltd,SWARAJENG,500407,Equity,Active,B ,10,INE277A01016,Swaraj Engines Ltd.
Tata Elxsi Ltd,TATAELXSI,500408,Equity,Active,A ,10,INE670A01012,Tata Elxsi Ltd
ACC Ltd,ACC,500410,Equity,Active,A ,10,INE012A01025,ACC Ltd
Thermax Ltd,THERMAX,500411,Equity,Active,A ,2,INE152A01029,Thermax Ltd.
Thirumalai Chemicals Ltd,TIRUMALCHM,500412,Equity,Active,B ,1,INE338A01024,Thirumalai Chemicals Ltd.
Thomas Cook (India) Ltd,THOMASCOOK,500413,Equity,Active,A ,1,INE332A01027,Thomas Cook (India) Ltd.
Timex Group India Ltd,TIMEX,500414,Equity,Active,B ,1,INE064A01026,Timex Group India Ltd
Tokyo Plast International Ltd,TOKYOPLAST,500418,Equity,Active,B ,10,INE932C01012,Tokyo Plast International Ltd.
Torrent Pharmaceuticals Ltd,TORNTPHARM,500420,Equity,Active,A ,5,INE685A01028,Torrent Pharmaceuticals Ltd.
TPI India Ltd,TPINDIA,500421,Equity,Active,X ,1,INE578C01021,TPI India Ltd.
Transchem Ltd,TRANSCHEM,500422,Equity,Active,XT,10,INE019B01010,Transchem Limited.
Ambuja Cements Ltd,AMBUJACEM,500425,Equity,Active,A ,2,INE079A01024,Ambuja Cements Ltd.
UTL Industries Ltd,UTLINDS,500426,Equity,Active,X ,1,INE184E01024,UTL Industries Limited
Uniphos Enterprises Ltd,UNIENTER,500429,Equity,Active,B ,2,INE037A01022,Uniphos Enterprises Limited.
Vardhman Holdings Ltd,VHL,500439,Equity,Active,B ,10,INE701A01023,Vardhman Holdings Limited
Hindalco Industries Ltd,HINDALCO,500440,Equity,Active,A ,1,INE038A01020,Hindalco Industries Ltd.
West Coast Paper Mills Ltd,WSTCSTPAPR,500444,Equity,Active,B ,2,INE976A01021,West Coast Paper Mills Limited
Hindustan Organic Chemicals Ltd,HOCL,500449,Equity,Active,B ,10,INE048A01011,Hindustan Organic Chemicals Ltd.
MPIL Corporation Ltd,MPILCORPL,500450,Equity,Active,X ,10,INE844C01027,MPIL CORPORATION LIMITED
Pasupati Acrylon Ltd,PASUPTAC,500456,Equity,Active,B ,10,INE818B01023,Pasupati Acrylon Ltd.
Team24 Consumer Products Ltd,TEAM24,500458,Equity,Active,X ,10,INE601A01017,TEAM24 CONSUMER PRODUCTS LIMITED
Procter & Gamble Hygiene and Health Care Ltd,PGHH,500459,Equity,Active,A ,10,INE179A01014,Procter & Gamble Hygiene & Health Care Ltd.
Mukand Ltd,MUKANDLTD,500460,Equity,Active,B ,10,INE304A01026,Mukand Ltd.
Black Box Ltd,BBOX,500463,Equity,Active,A ,2,INE676A01027,BLACK BOX LIMITED
